areaName,Borough,areaType,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8
Brooklyn,Brooklyn,borough,2463,2450,2499,2500,2500,2500,2500,2500,2650,2600,2600,2700,2500,2500,2500,2500,2500,2600,2600,2700,2700,2600,2500,2550,2500,2500,2500,2535,2600,2600,2600,2600,2590,2500,2500,2500,2500,2550,2550,2550,2550,2580,2600,2650,2600,2550,2500,2500,2590,2550,2590,2600,2650,2650,2650,2650,2600,2599,2500,2500,2500,2500,2495,2500,2500,2550,2599,2615,2598,2500,2495,2450,2450,2450,2495,2500,2587,2600,2693,2675,2600,2550,2500,2500,2500,2500,2500,2595,2600,2650,2700,2700,2697,2672,2600,2599,2600,2650,2652,2700,2700,2699,2695,2600,2500,2450,2400,2400,2399,2399,2400,2400,2450,2500,2600,2650
Manhattan,Manhattan,borough,3155,3100,3100,3195,3200,3200,3200,3200,3250,3200,3250,3225,3200,3200,3200,3200,3195,3150,3195,3225,3269,3250,3250,3245,3200,3200,3200,3270,3291,3250,3200,3200,3200,3200,3200,3200,3200,3250,3250,3295,3325,3350,3350,3395,3400,3350,3295,3300,3300,3300,3350,3390,3400,3395,3370,3300,3345,3300,3300,3250,3229,3254,3250,3300,3300,3300,3300,3300,3300,3275,3200,3200,3200,3200,3200,3250,3300,3300,3300,3300,3295,3250,3250,3295,3265,3300,3300,3400,3450,3500,3497,3495,3500,3500,3500,3500,3500,3500,3500,3450,3300,3200,3100,2995,2900,2800,2799,2795,2750,2795,2795,2800,2895,2950,3000,3100
Queens,Queens,borough,1800,2500,2500,2350,2495,2460,2450,2375,2200,2113,2000,2000,2000,2000,2000,2000,2100,2100,2200,2245,2300,2200,2155,2100,2100,2095,2000,2240,2100,2300,2175,2200,2150,2100,2100,2100,2100,2100,2100,2100,2193,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2350,2300,2250,2222,2250,2200,2200,2200,2200,2200,2205,2250,2300,2250,2200,2200,2196,2150,2150,2200,2200,2200,2200,2250,2299,2275,2200,2195,2150,2200,2200,2200,2250,2250,2300,2300,2300,2300,2300,2299,2250,2300,2350,2350,2395,2350,2300,2300,2200,2200,2100,2100,2025,2000,2000,2000,2050,2100,2188,2200,2250
NYC,,city,2960,2925,2950,2995,2995,2995,2995,3000,3050,3000,3000,3000,2995,3000,3000,2995,2995,2995,2995,3000,3000,2995,2950,2935,2900,2900,2900,2950,2950,2914,2890,2890,2850,2825,2800,2800,2800,2800,2800,2850,2850,2899,2900,2950,2900,2895,2825,2850,2862,2895,2900,2933,2950,2979,2965,2950,2900,2875,2800,2800,2750,2750,2700,2750,2775,2795,2800,2860,2800,2795,2700,2700,2695,2665,2699,2750,2795,2800,2800,2800,2775,2700,2650,2650,2695,2700,2700,2800,2850,2900,2950,2945,2924,2900,2895,2895,2900,2900,2900,2995,2933,2881,2800,2729,2638,2550,2500,2500,2495,2499,2495,2500,2500,2599,2675,2700
