areaName,Borough,areaType,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8
Brooklyn,Brooklyn,borough,1802,1911,2021,2081,2300,2535,2607,2569,2468,2572,2474,2483,2742,2742,2711,3034,3279,3361,4044,4464,4331,4913,4853,5208,5695,5569,5926,6358,6849,7551,8624,9267,9085,9000,9056,8832,9384,9604,10067,10393,11126,12377,13241,13451,11781,10992,9770,9055,9553,9308,10088,10520,11943,12752,13355,14130,13143,12132,12087,11224,13000,12981,14940,14993,17104,18862,18820,14263,13016,13404,12302,10771,11742,11486,12473,13395,15584,16458,17831,18320,15394,17536,16279,15130,16330,14653,15061,14171,15336,15030,15435,14735,12173,10530,9326,8379,9458,9000,8279,7521,13203,18426,23112,25914,25843,24097,21999,20432,20385,18299,19420,19243,19245,19004,17560,15341
Manhattan,Manhattan,borough,10722,11079,11991,12314,13269,14000,14845,14530,12763,12732,12253,11931,13345,13362,14421,16004,16767,16841,18016,17896,16549,17505,16127,15678,16470,16874,18434,19683,21237,21162,21983,21423,20134,19678,18122,17725,18910,18322,20226,21256,22127,23554,24392,23130,20883,20603,19248,18594,19430,19771,21077,21732,23195,24831,25257,25927,23423,22717,21919,20220,21901,21145,23098,23257,25792,27293,26860,23083,20971,20919,18405,16581,17751,17186,18501,19988,21993,22741,23625,22917,19245,19502,17390,15589,17177,16400,18187,20136,21849,22270,22656,21248,17975,16772,14862,13617,14752,13510,12622,12587,20182,28759,37588,41389,41206,41184,36758,33763,33336,30266,30672,28624,26048,24685,21934,18569
NYC,,city,13208,14065,15161,15511,16857,17805,18795,18234,16220,16379,15762,15359,17119,17125,18208,20173,21215,21415,23443,23772,22355,24216,22927,22684,24081,24457,26600,29222,31530,32111,33814,33846,32225,31834,30581,30073,31700,31596,34423,35841,37636,40565,41890,40745,36872,36231,33540,31769,33036,33220,35665,36741,39839,42368,43472,45193,41729,40133,39329,36397,40768,40301,45046,45015,50241,54332,53727,42647,39421,40114,36079,32246,34859,34181,36984,39290,43912,45801,47889,47635,40468,43790,40122,36515,39667,36968,39629,40729,43922,43586,44536,42038,35770,33011,29291,26527,29180,27158,24881,23219,37914,53282,68299,75655,75373,74037,66970,62073,62390,56516,58829,56266,53363,51695,46814,40710
Queens,Queens,borough,498,881,945,913,1082,1038,1079,889,744,776,700,709,814,817,867,906,925,960,1111,1152,1232,1507,1611,1495,1611,1674,1885,2829,3073,2986,2663,2558,2364,2526,2729,2803,2657,2883,3259,3354,3636,3857,3415,3382,3439,3778,3694,3268,3156,3283,3636,3688,3898,3999,4069,4188,4177,4301,4316,4046,4884,5184,5981,5791,6323,7103,7033,4580,4678,4964,4554,4160,4596,4748,5243,5150,5467,5690,5432,5245,4814,5523,5301,4716,4999,4810,5243,5338,5523,5216,5294,4944,4561,4753,4195,3743,4193,3936,3356,2649,3910,5365,6770,7454,7473,7915,7384,7011,7744,7072,7851,7529,7217,7026,6310,5742
